date,time,state,county,city,latitude,longitude,type,value,unit,source,description,Station
2/07/2025,0315 PM, NM, Cibola, Grants-Milan Airport, 35.1667, -107.9, PKGUST, 40, mph, AWOS, Peak Wind Gust,ABQ
2/07/2025,0344 PM, NM, Cibola, I-40 @ SR-6 (NMDOT), 34.9832, -107.1724, PKGUST, 41, mph, MESOWEST, Peak Wind Gust,ABQ
2/07/2025,0333 PM, NM, Cibola, New Laguna 1 N (Laguna), 35.052, -107.4234, PKGUST, 43, mph, RAWS, Peak Wind Gust,ABQ
2/07/2025,0225 PM, NM, Cibola, El Morro 16 SSE (Malpais Lava Flow), 34.8518, -108.1746, PKGUST, 47, mph, RAWS, Peak Wind Gust,ABQ
2/07/2025,1230 PM, NM, Colfax, I-25 @ Raton Pass (NMDOT), 36.9892, -104.4834, PKGUST, 40, mph, MESOWEST, Peak Wind Gust,ABQ
2/07/2025,0215 PM, NM, Colfax, Angel Fire Airport, 36.4167, -105.2833, PKGUST, 41, mph, AWOS, Peak Wind Gust,ABQ
2/07/2025,0402 PM, NM, Colfax, Raton Crews Airport, 36.7333, -104.5, PKGUST, 52, mph, ASOS, Peak Wind Gust,ABQ
2/07/2025,0410 AM, NM, Colfax, 4 SW Philmont Scout Ranch, 36.44, -104.98, PKGUST, 60, mph, Public, Peak Wind Gust,ABQ
2/07/2025,0435 AM, NM, Colfax, 2 WSW Philmont Scout Ranch, 36.47, -104.97, PKGUST, 64, mph, Public, Peak Wind Gust,ABQ
2/07/2025,0229 PM, NM, Curry, Clovis, 34.4598, -103.2017, PKGUST, 47, mph, CWOP, Peak Wind Gust,ABQ
2/07/2025,1150 AM, NM, Guadalupe, Newkirk, 35.0712, -104.2671, PKGUST, 40, mph, MESOWEST, Peak Wind Gust,ABQ
2/07/2025,1015 AM, NM, Guadalupe, SE Vaughn, 34.4761, -105.0838, PKGUST, 43, mph, MESOWEST, Peak Wind Gust,ABQ
2/07/2025,0205 PM, NM, Guadalupe, Thompson Cattle, 34.9841, -104.9933, PKGUST, 45, mph, MESOWEST, Peak Wind Gust,ABQ
2/07/2025,0700 PM, NM, Lincoln, Ruidoso 1 NNW (Smokey Bear), 33.3502, -105.6861, PKGUST, 43, mph, RAWS, Peak Wind Gust,ABQ
2/07/2025,0135 PM, NM, Lincoln, Sierra Blanca Rgnl Arpt, 33.4667, -105.5167, PKGUST, 45, mph, AWOS, Peak Wind Gust,ABQ
2/07/2025,0730 PM, NM, Lincoln, Nogal 5 NW, 33.6077, -105.7716, PKGUST, 46, mph, CWOP, Peak Wind Gust,ABQ
2/07/2025,0404 PM, NM, McKinley, Gallup Airport, 35.5167, -108.8, PKGUST, 45, mph, ASOS, Peak Wind Gust,ABQ
2/07/2025,1210 PM, NM, Mora, 1 ENE Watrous, 35.8, -104.96, PKGUST, 41, mph, Public, Peak Wind Gust,ABQ
2/07/2025,1204 PM, NM, Mora, Bartley, 35.9087, -105.3878, PKGUST, 56, mph, RAWS, Peak Wind Gust,ABQ
2/07/2025,1041 AM, NM, Quay, Endee 2 SW, 35.1073, -103.1244, PKGUST, 45, mph, WT-MESO, Peak Wind Gust,ABQ
2/07/2025,1057 AM, NM, Quay, Tucumcari Muni Airport, 35.1833, -103.6, PKGUST, 48, mph, ASOS, Peak Wind Gust,ABQ
2/07/2025,1015 AM, NM, San Miguel, Rociada, 35.8323, -105.4209, PKGUST, 45, mph, CWOP, Peak Wind Gust,ABQ
2/07/2025,1148 AM, NM, San Miguel, 6 E Storrie Lake State Park, 35.65, -105.13, PKGUST, 60, mph, ASOS, Peak Wind Gust,ABQ
2/07/2025,1258 PM, NM, San Miguel, 6 E Storrie Lake State Park, 35.65, -105.13, PKGUST, 62, mph, ASOS, Peak Wind Gust,ABQ
2/07/2025,1227 PM, NM, San Miguel, 6 E Storrie Lake State Park, 35.65, -105.13, PKGUST, 64, mph, ASOS, Peak Wind Gust,ABQ
2/07/2025,1037 AM, NM, Taos, Midnight, 36.7784, -105.3414, PKGUST, 44, mph, RAWS, Peak Wind Gust,ABQ
2/07/2025,1203 PM, NM, Torrance, Clines Corners 1 SSE, 35, -105.67, PKGUST, 48, mph, ASOS, Peak Wind Gust,ABQ
2/07/2025,0300 PM, NM, Union, SW Clayton, 36.2675, -103.3184, PKGUST, 40, mph, MESOWEST, Peak Wind Gust,ABQ
2/07/2025,0310 PM, NM, Union, Amistad, 35.8559, -103.2692, PKGUST, 44, mph, MESOWEST, Peak Wind Gust,ABQ
2/06/2025,0737 AM, CT, Fairfield, Bridgeport, 41.1863, -73.1962, SNOW, 0.6, Inch, Official NWS Obs, Storm total snowfall,OKX
2/06/2025,1107 AM, CT, Fairfield, Redding, 41.30475, -73.39369, SNOW, 1.2, Inch, NWS Employee, Storm total snowfall,OKX
2/06/2025,1045 AM, CT, Fairfield, New Fairfield, 41.47073, -73.45899, SNOW_24, 1.8, Inch, Trained Spotter, 24 hour snowfall,OKX
2/06/2025,1030 AM, CT, New Haven, North Haven, 41.3809, -72.8564, SNOW, 0.5, Inch, Trained Spotter, Storm total snowfall,OKX
2/06/2025,0845 AM, CT, New Haven, Guilford, 41.2803, -72.677, SNOW, 1.5, Inch, CO-OP Observer, Storm total snowfall,OKX
2/06/2025,0830 AM, NJ, Hudson, Hoboken, 40.7426, -74.0288, SNOW, 0.7, Inch, Trained Spotter, Storm total snowfall,OKX
2/06/2025,0830 AM, NJ, Hudson, Harrison, 40.7435, -74.1534, SNOW_24, 0.7, Inch, CO-OP Observer, 24 hour snowfall,OKX
2/06/2025,0709 AM, NJ, Union, Newark Airport, 40.68, -74.17, SNOW, 0.5, Inch, Official NWS Obs, Storm total snowfall,OKX
2/06/2025,0920 AM, NJ, Union, Elizabeth, 40.6664, -74.1942, SNOW, 1, Inch, Trained Spotter, Storm total snowfall,OKX
2/06/2025,0708 AM, NY, New York (Manhattan), Central Park, 40.78, -73.97, SNOW, 0.5, Inch, Official NWS Obs, Storm total snowfall,OKX
2/06/2025,0900 AM, NY, Orange, Monroe, 41.3206, -74.1863, SNOW, 1.5, Inch, Trained Spotter, Storm total snowfall,OKX
2/06/2025,0711 AM, NY, Queens, NYC/JFK, 40.64, -73.76, SNOW_24, 0.2, Inch, Official NWS Obs, 24 hour snowfall,OKX
2/06/2025,0709 AM, NY, Queens, NYC/La Guardia, 40.78, -73.88, SNOW, 0.3, Inch, Official NWS Obs, Storm total snowfall,OKX
2/06/2025,0711 AM, NY, Suffolk, Islip Airport, 40.79, -73.1, SNOW, 0.3, Inch, Official NWS Obs, Storm total snowfall,OKX
2/06/2025,0900 AM, NY, Suffolk, Riverhead, 40.91, -72.63, SNOW, 0.5, Inch, Cocorahs, Storm total snowfall,OKX
1/30/2025,1255 PM, TX, Anderson, Palestine Municipal Airport, 31.7833, -95.7, RAIN, 0.56, Inch, AWOS, Storm total rainfall,FWD
1/30/2025,1230 PM, TX, Anderson, 5.6 NE Oakwood, 31.6483, -95.7892, RAIN, 1.05, Inch, HADS, Storm total rainfall,FWD
1/30/2025,0105 PM, TX, Anderson, Palestine 4ESE, 31.7425, -95.5717, RAIN, 1.38, Inch, RAWS, Storm total rainfall,FWD
1/30/2025,1200 PM, TX, Anderson, NAT SCI BALLOON PALESTINE 6 WNW  TX US, 31.7796, -95.7232, RAIN, 1.59, Inch, HADS, Storm total rainfall,FWD
1/30/2025,0630 AM, TX, Bell, Killeen 2.9 SSW, 31.0582, -97.7326, RAIN, 0.5, Inch, COCORAHS, Storm total rainfall,FWD
1/30/2025,0700 AM, TX, Bell, Nolanville 0.9 E, 31.0797, -97.5954, RAIN, 0.58, Inch, COCORAHS, Storm total rainfall,FWD
1/30/2025,0105 PM, TX, Bell, Salado, 30.9539, -97.5333, RAIN, 0.61, Inch, AWS, Storm total rainfall,FWD
1/30/2025,1256 PM, TX, Bell, Killeen Skylark Field Airport, 31.0667, -97.6667, RAIN, 0.72, Inch, AWOS, Storm total rainfall,FWD
1/30/2025,0700 AM, TX, Bell, Temple 3.3 SSE, 31.0567, -97.3354, RAIN, 0.77, Inch, COCORAHS, Storm total rainfall,FWD
1/30/2025,0900 AM, TX, Bell, Copperas Cove 4.3 S, 31.0572, -97.9104, RAIN, 0.81, Inch, COCORAHS, Storm total rainfall,FWD
1/30/2025,1155 AM, TX, Bell, Killeen Fort Hood Regional Airport, 31.0667, -97.8333, RAIN, 0.88, Inch, AWOS, Storm total rainfall,FWD
