date,time,state,county,city,latitude,longitude,type,value,unit,source,description,Station
1/30/25,0741 AM, NM, Bernalillo, 4 NW Sandia Park,35.207,-106.414, SNOW_24,1, Inch, Public, 24 hour snowfall,ABQ
1/30/25,0900 AM, NM, Bernalillo, Sandia Park 0.5 S,35.1613,-106.3669, SNOW_24,1.2, Inch, COCORAHS, 24 hour snowfall,ABQ
1/30/25,0700 AM, NM, Bernalillo, Sandia Heights 0.5 S,35.1693,-106.4921, SNOW_24,1.3, Inch, COCORAHS, 24 hour snowfall,ABQ
1/28/25,1146 PM, NM, Catron, Red Hill 3.2 NW,34.2614,-108.9078, SNOW_24,1, Inch, COCORAHS, 24 hour snowfall,ABQ
1/29/25,0859 AM, NM, Catron, 6 WSW Red Hill,34.1907,-108.9766, SNOW_24,2.5, Inch, Public, 24 hour snowfall,ABQ
1/31/25,0800 AM, NM, Catron, Quemado 8.0 NE,34.4349,-108.4088, SNOW_72,2.7, Inch, COCORAHS, 72 hour snowfall,ABQ
1/30/25,0802 AM, NM, Catron, 6 ESE Mogollon,33.358372,-108.695427, SNOW_24,6, Inch, Other Federal, 24 hour snowfall,ABQ
1/30/25,0238 PM, NM, Catron, Old Horse Springs 19 SSE (Pelona Mountain),33.6938,-108.0616, PKGUST,41, mph, RAWS, Peak Wind Gust,ABQ
1/30/25,1011 PM, NM, Catron, Datil 11 NNE (Datil),34.2925,-107.7681, PKGUST,41, mph, RAWS, Peak Wind Gust,ABQ
1/30/25,0237 PM, NM, Chaves, Bitter Lake WL Refuge 14 NNE (Eight Mile Draw),33.6506,-104.3213, PKGUST,43, mph, RAWS, Peak Wind Gust,ABQ
1/30/25,1222 PM, NM, Chaves, Roswell Air Center,33.3,-104.5, PKGUST,48, mph, ASOS, Peak Wind Gust,ABQ
1/31/25,0700 AM, NM, Cibola, Ramah 3.1 ENE,35.1439,-108.439, SNOW_72,1, Inch, COCORAHS, 72 hour snowfall,ABQ
1/29/25,1200 PM, NM, Cibola, San Fidel,35.08,-107.6, SNOW_24,1, Inch, Public, 24 hour snowfall,ABQ
1/31/25,0700 AM, NM, Cibola, Grants 1.6 NE,35.1697,-107.8175, SNOW_72,3.6, Inch, COCORAHS, 72 hour snowfall,ABQ
1/30/25,1033 AM, NM, Cibola, New Laguna 1 N (Laguna),35.052,-107.4234, PKGUST,43, mph, RAWS, Peak Wind Gust,ABQ
1/30/25,0757 AM, NM, Colfax, 5 S Cimarron Canyon State Park,36.46191,-105.174751, SNOW_24,3, Inch, Other Federal, 24 hour snowfall,ABQ
1/31/25,0552 AM, NM, Colfax, 3 E Angel Fire,36.38,-105.24, SNOW_24,9, Inch, Public, 24 hour snowfall,ABQ
1/30/25,0514 PM, NM, Colfax, Raton Crews Airport,36.7333,-104.5, PKGUST,45, mph, ASOS, Peak Wind Gust,ABQ
1/30/25,0345 PM, NM, Colfax, I-25 @ Raton Pass (NMDOT),36.9892,-104.4834, PKGUST,52, mph, MESOWEST, Peak Wind Gust,ABQ
1/30/25,1208 PM, NM, Curry, Cannon Air Force Base,34.3666,-103.3166, PKGUST,44, mph, AWOS, Peak Wind Gust,ABQ
1/30/25,0110 PM, NM, Curry, Clovis Muni Airport,34.4167,-103.0667, PKGUST,44, mph, AWOS, Peak Wind Gust,ABQ
1/30/25,0105 PM, NM, Curry, St. Vrain,34.442,-103.4773, PKGUST,46, mph, MESOWEST, Peak Wind Gust,ABQ
1/30/25,1123 AM, NM, Curry, Clovis,34.4598,-103.2017, PKGUST,60, mph, CWOP, Peak Wind Gust,ABQ
1/30/25,1225 PM, NM, De Baca, East Fort Sumner,34.4718,-104.211, PKGUST,52, mph, MESOWEST, Peak Wind Gust,ABQ
1/30/25,1009 AM, NM, Guadalupe, Santa Rosa Airport,34.94,-104.64, PKGUST,41, mph, AWOS, Peak Wind Gust,ABQ
1/30/25,0100 PM, NM, Guadalupe, Puerto De Luna 3.3 E,34.8326,-104.5649, PKGUST,44, mph, MESOWEST, Peak Wind Gust,ABQ
1/30/25,1115 AM, NM, Guadalupe, SE Vaughn,34.4761,-105.0838, PKGUST,46, mph, MESOWEST, Peak Wind Gust,ABQ
1/30/25,1145 AM, NM, Guadalupe, Thompson Cattle,34.9841,-104.9933, PKGUST,52, mph, MESOWEST, Peak Wind Gust,ABQ
1/30/25,1224 PM, NM, Guadalupe, Vaughn 4 E (UPR),34.6303,-105.1506, PKGUST,54, mph, MESOWEST, Peak Wind Gust,ABQ
1/30/25,1240 PM, NM, Guadalupe, SE Vaughn,34.4761,-105.0838, PKGUST,67, mph, MESOWEST, Peak Wind Gust,ABQ
1/30/25,1255 PM, NM, Lincoln, Sierra Blanca Rgnl Arpt,33.4667,-105.5167, PKGUST,40, mph, AWOS, Peak Wind Gust,ABQ
1/30/25,0120 PM, NM, Lincoln, Lon 6.7 E,34.15,-105.0059, PKGUST,44, mph, MESOWEST, Peak Wind Gust,ABQ
1/30/25,0220 PM, NM, Lincoln, Roswell No. 2 Portable,34.1494,-105.006, PKGUST,49, mph, RAWS, Peak Wind Gust,ABQ
1/30/25,0215 PM, NM, Lincoln, Nogal,33.5437,-105.675, PKGUST,55, mph, MESOWEST, Peak Wind Gust,ABQ
1/31/25,0800 AM, NM, McKinley, Prewitt 5.5 NNE,35.44,-108.0216, SNOW_72,2.8, Inch, COCORAHS, 72 hour snowfall,ABQ
1/31/25,0700 AM, NM, Mora, Ocate 3.0 WNW (TWRNo. 2),36.1914,-105.0984, SNOW_72,1, Inch, COCORAHS, 72 hour snowfall,ABQ
1/31/25,0700 AM, NM, Mora, Ocate 3.4 WNW (TWRNo. 1),36.1995,-105.1025, SNOW_72,1, Inch, COCORAHS, 72 hour snowfall,ABQ
1/31/25,0700 AM, NM, Mora, Ocate 3.7 WNW,36.198,-105.1097, SNOW_72,1.5, Inch, COCORAHS, 72 hour snowfall,ABQ
1/31/25,0700 AM, NM, Mora, Chacon 2.1 ENE,36.165,-105.341, SNOW_72,2.2, Inch, COCORAHS, 72 hour snowfall,ABQ
1/31/25,0500 AM, NM, Rio Arriba, Chama 23.3 SSW,36.5681,-106.6955, SNOW_72,1.1, Inch, COCORAHS, 72 hour snowfall,ABQ
1/31/25,0700 AM, NM, Rio Arriba, El Rito 0.0 SW,36.343,-106.1901, SNOW_72,1.1, Inch, COCORAHS, 72 hour snowfall,ABQ
1/31/25,0700 AM, NM, Rio Arriba, Gallina 2.0 W,36.227,-106.841, SNOW_72,1.9, Inch, COCORAHS, 72 hour snowfall,ABQ
1/29/25,0300 PM, NM, Rio Arriba, 7 ESE Cuba,35.999863,-106.826851, SNOW_24,2, Inch, Other Federal, 24 hour snowfall,ABQ
1/30/25,0700 AM, NM, Rio Arriba, Truchas 1.4 ESE,36.0359,-105.7896, SNOW_24,3.8, Inch, COCORAHS, 24 hour snowfall,ABQ
1/30/25,0751 AM, NM, Rio Arriba, 11 NNW Canon Plaza,36.697739,-106.248207, SNOW_24,4, Inch, Other Federal, 24 hour snowfall,ABQ
1/31/25,0958 AM, NM, Rio Arriba, 5 NW Chama,36.947815,-106.651062, SNOW_24,5, Inch, Other Federal, 24 hour snowfall,ABQ
1/30/25,0754 AM, NM, Rio Arriba, 9 E Cuba,36.016598,-106.801857, SNOW_24,8, Inch, Other Federal, 24 hour snowfall,ABQ
1/30/25,0752 AM, NM, Rio Arriba, 7 E Canjilon,36.495949,-106.313087, SNOW_24,9, Inch, Other Federal, 24 hour snowfall,ABQ
1/30/25,0700 AM, NM, Rio Arriba, Chama 12.3 SSE,36.737,-106.4765, SNOW_24,10, Inch, COCORAHS, 24 hour snowfall,ABQ
1/30/25,0114 PM, NM, Roosevelt, Tolar 13 SE (Melrose Range),34.2842,-103.715, PKGUST,41, mph, RAWS, Peak Wind Gust,ABQ
1/30/25,1255 PM, NM, Roosevelt, Tolar 12 SE,34.3,-103.8, PKGUST,43, mph, AWOS, Peak Wind Gust,ABQ
1/30/25,1250 PM, NM, Roosevelt, Dora 2 SW,33.9201,-103.3578, PKGUST,49, mph, WT-MESO, Peak Wind Gust,ABQ
1/30/25,0110 PM, NM, San Juan, Farmington Airport,36.75,-108.2333, PKGUST,41, mph, ASOS, Peak Wind Gust,ABQ
1/31/25,0700 AM, NM, San Miguel, Rowe 2.7 NNW,35.5254,-105.6999, SNOW_72,1, Inch, COCORAHS, 72 hour snowfall,ABQ
1/31/25,0700 AM, NM, San Miguel, San Pablo 2 E,35.5211,-105.3401, SNOW_72,1.2, Inch, COCORAHS, 72 hour snowfall,ABQ
1/31/25,0600 AM, NM, San Miguel, Sapello 5.1 WNW,35.7965,-105.3395, SNOW_72,1.8, Inch, COCORAHS, 72 hour snowfall,ABQ
1/29/25,0300 PM, NM, San Miguel, 8 SW Rociada,35.763668,-105.530823, SNOW_24,2, Inch, Other Federal, 24 hour snowfall,ABQ
