0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1/30/2025,0125 PM, NM, Dona Ana, Las Cruces, , , 32.2682, -106.9127, PKGUST, 30, mph, DAVIS, Peak Wind Gust,
1/30/2025,0144 PM, NM, Dona Ana, Santa Teresa Fire Station (DACFC), , , 31.8552, -106.6425, PKGUST, 30, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0115 PM, NM, Dona Ana, Williams Ranch (DACFC), , , 32.1049, -107.0883, PKGUST, 30, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0226 PM, NM, Dona Ana, Dripping Springs RAWS, , , 32.3223, -106.5866, PKGUST, 31, mph, RAWS, Peak Wind Gust,
1/30/2025,0215 PM, NM, Dona Ana, Las Cruces - S Fork LC Arroyo Dam (DACFC), , , 32.3362, -106.7073, PKGUST, 31, mph, MESOWEST, Peak Wind Gust,
1/30/2025,1230 PM, NM, Dona Ana, WSMR Apache, , , 32.6272, -106.3944, PKGUST, 32, mph, MESOWEST, Peak Wind Gust,
1/30/2025,1210 PM, NM, Dona Ana, WSMR Rad, , , 32.799, -106.5042, PKGUST, 32, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0655 PM, NM, Dona Ana, Globe, , , 32.3752, -106.4708, PKGUST, 32, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0128 PM, NM, Dona Ana, Afton (DACFC), , , 32.1126, -106.8493, PKGUST, 33, mph, MESOWEST, Peak Wind Gust,
1/30/2025,1230 PM, NM, Dona Ana, High Valley (DACFC), , , 32.1444, -106.5944, PKGUST, 33, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0113 PM, NM, Dona Ana, Dona Ana County Fairgrounds (DACFC), , , 32.2621, -106.9734, PKGUST, 34, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0725 PM, NM, Dona Ana, Lc-33, , , 32.3998, -106.3798, PKGUST, 34, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0155 PM, NM, Dona Ana, Santa Teresa AWOS, , , 31.8833, -106.7, PKGUST, 35, mph, AWOS, Peak Wind Gust,
1/30/2025,0140 PM, NM, Dona Ana, Cdrrc Camp Location, , , 32.5781, -106.8688, PKGUST, 37, mph, MESOWEST, Peak Wind Gust,
1/30/2025,1159 AM, NM, Dona Ana, Santa Teresa NWS RSOIS, , , 31.8728, -106.6977, PKGUST, 37, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0410 PM, NM, Dona Ana, WSMR EMRE, , , 32.4706, -106.5025, PKGUST, 37, mph, MESOWEST, Peak Wind Gust,
1/30/2025,1135 AM, NM, Dona Ana, WSMR Pony, , , 32.8699, -106.493, PKGUST, 37, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0555 AM, NM, Dona Ana, WSMR Building 1830, , , 32.3745, -106.4722, PKGUST, 39, mph, MESOWEST, Peak Wind Gust,
1/30/2025,1210 PM, NM, Dona Ana, Brillo West, , , 32.9585, -106.5404, PKGUST, 39, mph, MESOWEST, Peak Wind Gust,
1/30/2025,1230 PM, NM, Dona Ana, Butterfield Trail Ranch, , , 32.264, -107.2435, PKGUST, 41, mph, MESOWEST, Peak Wind Gust,
1/30/2025,1255 PM, NM, Dona Ana, Las Cruces AWOS, , , 32.2667, -106.9167, PKGUST, 41, mph, AWOS, Peak Wind Gust,
1/30/2025,0725 PM, NM, Dona Ana, WSMR Main Post, , , 32.3731, -106.4887, PKGUST, 41, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0655 PM, NM, Dona Ana, WSMR Museum, , , 32.3837, -106.4788, PKGUST, 41, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0230 PM, NM, Dona Ana, San Agustin Pass 1.6 E Organ (WSMR), , , 32.4272, -106.5668, PKGUST, 60, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0159 PM, NM, Grant, Burro Mountain RAWS, , , 32.6719, -108.5397, PKGUST, 32, mph, RAWS, Peak Wind Gust,
1/30/2025,1045 AM, NM, Grant, Silver City - Mountain View, , , 32.775, -108.2588, PKGUST, 35, mph, CWOP, Peak Wind Gust,
1/30/2025,0135 PM, NM, Grant, Grant County Airport AWOS, , , 32.6333, -108.15, PKGUST, 38, mph, AWOS, Peak Wind Gust,
1/30/2025,0435 PM, NM, Hidalgo, Lordsburg Playa I10 MP7 (NMDOT), , , 32.2519, -108.9288, PKGUST, 30, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0310 PM, NM, Hidalgo, Lordsburg Playa I10 MP11 (NMDOT), , , 32.2795, -108.8823, PKGUST, 32, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0225 PM, NM, Hidalgo, Lordsburg Playa I10 MP9 (NMDOT), , , 32.2668, -108.9029, PKGUST, 32, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0155 PM, NM, Hidalgo, Lordsburg Playa I10 MP12 (NMDOT), , , 32.2874, -108.8668, PKGUST, 33, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0210 PM, NM, Hidalgo, Lordsburg Playa I10 MP13 (NMDOT), , , 32.3198, -108.8121, PKGUST, 33, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0240 PM, NM, Hidalgo, Hachita Valley, , , 31.702, -108.3418, PKGUST, 34, mph, RAWS, Peak Wind Gust,
1/30/2025,0345 PM, NM, Hidalgo, North Lordsburg Playa, , , 32.2528, -108.9531, PKGUST, 35, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0219 PM, NM, Hidalgo, 1 SE Lordsburg, , , 32.33, -108.69, PKGUST, 38, mph, AWOS, Peak Wind Gust,
1/30/2025,0115 PM, NM, Luna, Cooks Peak Fd, , , 32.2897, -107.7524, PKGUST, 30, mph, MESOWEST, Peak Wind Gust,
1/30/2025,1135 AM, NM, Luna, Mac Ranch, , , 32.0741, -107.8511, PKGUST, 35, mph, MESOWEST, Peak Wind Gust,
1/30/2025,1254 PM, NM, Luna, Deming ASOS, , , 32.2667, -107.7167, PKGUST, 43, mph, ASOS, Peak Wind Gust,
1/30/2025,0141 PM, NM, Otero, Mescalero RAWS, , , 33.1581, -105.7689, PKGUST, 31, mph, RAWS, Peak Wind Gust,
1/30/2025,0235 PM, NM, Otero, WSMR LC-36, , , 32.4174, -106.3202, PKGUST, 32, mph, MESOWEST, Peak Wind Gust,
1/30/2025,1255 PM, NM, Otero, Lc-35 North, , , 32.4412, -106.3362, PKGUST, 32, mph, MESOWEST, Peak Wind Gust,
1/30/2025,0415 PM, NM, Otero, Mayhill - Red Shift Obs, , , 32.9133, -105.525, PKGUST, 34, mph, CWOP, Peak Wind Gust,
1/30/2025,0510 PM, NM, Otero, Weed - Dark Ridge Obs, , , 32.803, -105.4747, PKGUST, 35, mph, CWOP, Peak Wind Gust,
1/30/2025,0237 PM, NM, Otero, Lincoln Portable No. 2, , , 32.9647, -105.4778, PKGUST, 36, mph, RAWS, Peak Wind Gust,
1/30/2025,0301 PM, NM, Otero, Mayhill RAWS, , , 32.9097, -105.4697, PKGUST, 39, mph, RAWS, Peak Wind Gust,
1/30/2025,0237 PM, NM, Otero, McGregor Range RAWS, , , 32.4313, -105.6218, PKGUST, 39, mph, RAWS, Peak Wind Gust,
