0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1/30/2025,1255 PM, TX, Anderson, Palestine Municipal Airport, , , 31.7833, -95.7, RAIN, 0.56, Inch, AWOS, Storm total rainfall,,
1/30/2025,1230 PM, TX, Anderson, 5.6 NE Oakwood, , , 31.6483, -95.7892, RAIN, 1.05, Inch, HADS, Storm total rainfall,,
1/30/2025,0105 PM, TX, Anderson, Palestine 4ESE, , , 31.7425, -95.5717, RAIN, 1.38, Inch, RAWS, Storm total rainfall,,
1/30/2025,1200 PM, TX, Anderson, NAT SCI BALLOON PALESTINE 6 WNW  TX US, , , 31.7796, -95.7232, RAIN, 1.59, Inch, HADS, Storm total rainfall,,
1/30/2025,0630 AM, TX, Bell, Killeen 2.9 SSW, , , 31.0582, -97.7326, RAIN, 0.5, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0700 AM, TX, Bell, Nolanville 0.9 E, , , 31.0797, -97.5954, RAIN, 0.58, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0105 PM, TX, Bell, Salado, , , 30.9539, -97.5333, RAIN, 0.61, Inch, AWS, Storm total rainfall,,
1/30/2025,1256 PM, TX, Bell, Killeen Skylark Field Airport, , , 31.0667, -97.6667, RAIN, 0.72, Inch, AWOS, Storm total rainfall,,
1/30/2025,0700 AM, TX, Bell, Temple 3.3 SSE, , , 31.0567, -97.3354, RAIN, 0.77, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0900 AM, TX, Bell, Copperas Cove 4.3 S, , , 31.0572, -97.9104, RAIN, 0.81, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,1155 AM, TX, Bell, Killeen Fort Hood Regional Airport, , , 31.0667, -97.8333, RAIN, 0.88, Inch, AWOS, Storm total rainfall,,
1/30/2025,1155 AM, TX, Bell, Fort Cavazos Army Airfield, , , 31.1333, -97.7167, RAIN, 0.93, Inch, AWOS, Storm total rainfall,,
1/30/2025,1215 PM, TX, Bell, 1.8 S Little River-Acade, , , 30.9664, -97.3458, RAIN, 0.93, Inch, HADS, Storm total rainfall,,
1/30/2025,0110 PM, TX, Bell, Killeen, , , 31.058, -97.7324, RAIN, 1.02, Inch, CWOP, Storm total rainfall,,
1/30/2025,0700 AM, TX, Bell, Salado 5.2 S, , , 30.8766, -97.5133, RAIN, 1.04, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,1200 PM, TX, Bell, 2.7 N Belton, , , 31.1061, -97.4744, RAIN, 1.06, Inch, HADS, Storm total rainfall,,
1/30/2025,0730 AM, TX, Bell, Temple 4.2 SSW, , , 31.0393, -97.3855, RAIN, 1.09, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0710 AM, TX, Bell, Belton 5.4 NW, , , 31.1231, -97.5284, RAIN, 1.14, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0700 AM, TX, Bell, Killeen 4.4 SW, , , 31.0614, -97.7784, RAIN, 1.22, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,1200 PM, TX, Bell, 5.0 N Salado, , , 31.0222, -97.5325, RAIN, 1.26, Inch, COOP, Storm total rainfall,,
1/30/2025,1251 PM, TX, Bell, Temple Draughon-Miller Arpt, , , 31.1333, -97.4, RAIN, 1.3, Inch, AWOS, Storm total rainfall,,
1/30/2025,0700 AM, TX, Bell, Killeen 4.9 SSW, , , 31.0323, -97.7465, RAIN, 1.33, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0700 AM, TX, Bell, Temple 3.0 SSE, , , 31.0582, -97.3412, RAIN, 1.42, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0700 AM, TX, Bell, Temple 4.5 WNW, , , 31.1169, -97.436, RAIN, 1.46, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0800 AM, TX, Bell, Belton 5.1 NW, , , 31.1206, -97.5246, RAIN, 1.46, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0700 AM, TX, Bell, Belton 3.9 N, , , 31.1239, -97.4733, RAIN, 1.49, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0700 AM, TX, Bell, Belton 4.4 WNW, , , 31.0947, -97.5319, RAIN, 1.51, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0700 AM, TX, Bell, Harker Heights 2.4 S, , , 31.0273, -97.6508, RAIN, 1.55, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0800 AM, TX, Bell, Harker Heights 2.8 SSE, , , 31.0225, -97.6385, RAIN, 1.55, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0930 AM, TX, Bell, Morgan`s Point Resort 0.5 NNE, , , 31.1622, -97.4501, RAIN, 1.62, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0800 AM, TX, Bell, Temple 10.6 NW, , , 31.2018, -97.4952, RAIN, 1.65, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0700 AM, TX, Bell, Moody 9.7 WSW, , , 31.2375, -97.5014, RAIN, 1.66, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0700 AM, TX, Bell, Belton 0.4 E, , , 31.067, -97.4564, RAIN, 1.68, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0930 AM, TX, Bell, Salado 1.5 S, , , 30.9294, -97.524, RAIN, 1.78, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0700 AM, TX, Bell, Temple 5.1 W, , , 31.0919, -97.4486, RAIN, 1.8, Inch, COCORAHS, Storm total rainfall,,
1/30/2025,0104 PM, TX, Bell, Temple 3S, , , 31.0564, -97.3469, RAIN, 1.82, Inch, RAWS, Storm total rainfall,,
1/30/2025,0800 AM, TX, Bell, Belton 2.1 NW, , , 31.0895, -97.4885, RAIN, 1.83, Inch, COCORAHS, Storm total rainfall,,
