0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1/21/2025,0700 AM, TX, Austin, Sealy 0.3 WNW, , , 29.7757, -96.1581, SNOW_24, 1.8, Inch, COCORAHS, 24 hour snowfall,
1/21/2025,0700 AM, TX, Austin, Cat Spring 3.7 N, , , 29.8984, -96.336, SNOW_24, 2, Inch, COCORAHS, 24 hour snowfall,
1/21/2025,0800 AM, TX, Austin, Bellville 4.3 NW, , , 29.9854, -96.3148, SNOW_24, 2, Inch, COCORAHS, 24 hour snowfall,
1/21/2025,0300 PM, TX, Brazoria, 1 ESE Clute, , , 29.0214, -95.3899, SNOW_24, 1.5, Inch, Law Enforcement, 24 hour snowfall,
1/21/2025,1049 AM, TX, Brazoria, 1 SSE Alvin, , , 29.4257, -95.2419, SNOW_24, 1.7, Inch, Public, 24 hour snowfall,
1/21/2025,0558 PM, TX, Brazoria, 1 NW Lake Jackson, , , 29.0578, -95.462, SNOW_24, 2.0, Inch, Public, 24 hour snowfall,
1/21/2025,1125 AM, TX, Brazoria, Pearland, , , 29.5536, -95.2753, SNOW_24, 3.0, Inch, Public, 24 hour snowfall,
1/21/2025,0900 AM, TX, Brazos, 2 NNW College Station, , , 30.6463, -96.3363, SNOW_24, 1, Inch, Public, 24 hour snowfall,
1/20/2025,0741 PM, TX, Chambers, 1 NNW Anahuac, , , 29.7736, -94.684, SNOW_24, 0.001, Inch, Fire Dept/Rescue, 24 hour snowfall,
1/21/2025,0800 AM, TX, Chambers, 1 NNE Mont Belvieu, , , 29.8757, -94.8709, SNOW_24, 3, Inch, COCORAHS, 24 hour snowfall,
1/21/2025,0200 PM, TX, Chambers, 1 NE Anahuac, , , 29.7717, -94.6699, SNOW_24, 4.0, Inch, Emergency Mngr, 24 hour snowfall,
1/21/2025,1235 PM, TX, Chambers, 5 S Cove, , , 29.7356, -94.8414, SNOW_24, 4.5, Inch, Public, 24 hour snowfall,
1/21/2025,0200 PM, TX, Chambers, 8 NNE Anahuac, , , 29.8635, -94.6129, SNOW_24, 5.0, Inch, Emergency Mngr, 24 hour snowfall,
1/21/2025,0700 AM, TX, Colorado, New Ulm 7.2 S, , , 29.7891, -96.477, SNOW_24, 1.7, Inch, COCORAHS, 24 hour snowfall,
1/21/2025,0222 PM, TX, Fort Bend, 5 SE Needville, , , 29.353, -95.7816, SNOW_24, 2.0, Inch, Public, 24 hour snowfall,
1/21/2025,1130 AM, TX, Fort Bend, Sugar Land .5 SE, , , 29.6107, -95.6335, SNOW_24, 2.8, Inch, COCORAHS, 24 hour snowfall,
1/21/2025,1041 AM, TX, Fort Bend, 1 SSW Meadows, , , 29.6315, -95.5957, SNOW_24, 3.0, Inch, Public, 24 hour snowfall,
1/21/2025,0122 PM, TX, Fort Bend, Richmond 4.6 SE, , , 29.5261, -95.7221, SNOW_24, 3.3, Inch, COCORAHS, 24 hour snowfall,
1/21/2025,1040 AM, TX, Fort Bend, Richmond, , , 29.582345, -95.760824, SNOW_24, 4, Inch, Public, 24 hour snowfall,
1/21/2025,1252 PM, TX, Galveston, 8 NE Galveston, , , 29.3017, -94.7882, SNOW_24, 1.0, Inch, Public, 24 hour snowfall,
1/21/2025,0602 PM, TX, Galveston, 3 SW Kemah, , , 29.5039, -95.0603, SNOW_24, 1.75, Inch, NWS Employee, 24 hour snowfall,
1/21/2025,0840 AM, TX, Galveston, 1 ESE Nassau Bay, , , 29.5367, -95.0718, SNOW_24, 2.0, Inch, Trained Spotter, 24 hour snowfall,
1/21/2025,0105 PM, TX, Galveston, San Leon, , , 29.4921, -94.9351, SNOW_24, 2.0, Inch, Public, 24 hour snowfall,
1/21/2025,1000 AM, TX, Galveston, 2 N League City, , , 29.5081, -95.1126, SNOW_24, 2.3, Inch, NWS Employee, 24 hour snowfall,
1/21/2025,1100 AM, TX, Galveston, 2 NW Dickinson, , , 29.471, -95.0832, SNOW_24, 2.4, Inch, NWS Employee, 24 hour snowfall,
1/21/2025,1057 AM, TX, Galveston, 2 WSW Kemah, , , 29.5151, -95.0545, SNOW_24, 2.5, Inch, Amateur Radio, 24 hour snowfall,
1/21/2025,0326 PM, TX, Galveston, 2 NW Dickinson, , , 29.471, -95.0832, SNOW_24, 2.6, Inch, NWS Employee, 24 hour snowfall,
1/21/2025,1102 AM, TX, Galveston, 1 SE Santa Fe, , , 29.37, -95.0816, SNOW_24, 2.75, Inch, Public, 24 hour snowfall,
1/21/2025,1137 AM, TX, Galveston, 1 N Santa Fe, , , 29.3908, -95.0985, SNOW_24, 3, Inch, Public, 24 hour snowfall,
1/21/2025,1241 PM, TX, Galveston, 1 ESE Nassau Bay, , , 29.5364, -95.0719, SNOW_24, 3.2, Inch, Trained Spotter, 24 hour snowfall,
1/21/2025,0300 PM, TX, Galveston, 2 ENE Dickinson, , , 29.4655, -95.0418, SNOW_24, 3.2, Inch, Cocorahs, 24 hour snowfall,
1/20/2025,1000 PM, TX, Grimes, 1 ENE Navasota, , , 30.3978, -96.0717, SNOW_24, 0.0, Inch, Dept of Highways, 24 hour snowfall,
1/20/2025,1020 PM, TX, Grimes, 1 NE Navasota, , , 30.3985, -96.072, SNOW_24, 0.0, Inch, Dept of Highways, 24 hour snowfall,
1/20/2025,0736 PM, TX, Grimes, 8 W Richards, , , 30.5552, -95.9536, SNOW_24, 0.001, Inch, Public, 24 hour snowfall,
