0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2/08/2025,0735 AM, WV, Pocahontas, Bartow 1 S, , , 38.5312, -79.7714, SNOW, 0.001, Inch, COOP, Storm total snowfall,
2/08/2025,0700 AM, WV, Pocahontas, Green Bank 1.2 ESE, , , 38.4111, -79.8119, SNOW, 0.5, Inch, COCORAHS, Storm total snowfall,
2/08/2025,0500 AM, WV, Pocahontas, Snowshoe, , , 38.399, -79.9949, SNOW, 1, Inch, COOP, Storm total snowfall,
2/08/2025,0700 AM, WV, Randolph, Elkins    , , , 38.9365, -79.8433, SNOW, 0.001, Inch, COOP, Storm total snowfall,
,,,,,,,,,,,,,,
Observations are collected from a variety of sources with varying,,,,,,,,,,,,,,
equipment and exposures. We thank all volunteer weather observers,,,,,,,,,,,,,,
for their dedication. Not all data listed are considered official.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
$$,,,,,,,,,,,,,,
