WFO Identifier,Location,ST,URL
ABQ,Albuquerque, NM,https://forecast.weather.gov/product.php?site=ABQ&issuedby=ABQ&product=PNS
ABR,Aberdeen, SD,https://forecast.weather.gov/product.php?site=ABR&issuedby=ABR&product=PNS
AFC,Anchorage, AK,https://forecast.weather.gov/product.php?site=AFC&issuedby=AFC&product=PNS
AKQ,Wakefield, VA,https://forecast.weather.gov/product.php?site=AKQ&issuedby=AKQ&product=PNS
ALY,Albany, NY,https://forecast.weather.gov/product.php?site=ALY&issuedby=ALY&product=PNS
APX,Gaylord, MI,https://forecast.weather.gov/product.php?site=APX&issuedby=APX&product=PNS
ARX,La Crosse, WI,https://forecast.weather.gov/product.php?site=ARX&issuedby=ARX&product=PNS
BGM,Binghamton, NY,https://forecast.weather.gov/product.php?site=BGM&issuedby=BGM&product=PNS
BIS,Bismarck, ND,https://forecast.weather.gov/product.php?site=BIS&issuedby=BIS&product=PNS
BMX,Birmingham, AL,https://forecast.weather.gov/product.php?site=BMX&issuedby=BMX&product=PNS
BOI,Boise, ID,https://forecast.weather.gov/product.php?site=BOI&issuedby=BOI&product=PNS
BOU,Denver/Boulder, CO,https://forecast.weather.gov/product.php?site=BOU&issuedby=BOU&product=PNS
BOX,Boston, MA,https://forecast.weather.gov/product.php?site=BOX&issuedby=BOX&product=PNS
BRO,Brownsville, TX,https://forecast.weather.gov/product.php?site=BRO&issuedby=BRO&product=PNS
BTV,Burlington, VT,https://forecast.weather.gov/product.php?site=BTV&issuedby=BTV&product=PNS
BUF,Buffalo, NY,https://forecast.weather.gov/product.php?site=BUF&issuedby=BUF&product=PNS
BYZ,Billings, MT,https://forecast.weather.gov/product.php?site=BYZ&issuedby=BYZ&product=PNS
CAE,Columbia, SC,https://forecast.weather.gov/product.php?site=CAE&issuedby=CAE&product=PNS
CAR,Caribou, ME,https://forecast.weather.gov/product.php?site=CAR&issuedby=CAR&product=PNS
OKX, New York, NY, https://forecast.weather.gov/product.php?site=NWS&product=PNS&issuedby=OKX
